,NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,bulk,power
0,1,1,11,Bulbasaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318,98,65
1,2,1,21,Ivysaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,1.0,13.0,60,62,63,80,80,60,405,131,80
2,3,1,31,Venusaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,2.0,100.0,80,82,83,100,100,80,525,183,100
3,3,2,32,Mega Venusaur,Grass,Poison,Green,Thick Fat,,,1,0,1,2.4,155.5,80,100,123,122,120,80,625,251,122
4,4,1,41,Charmander,Fire,,Red,Blaze,,Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309,86,60
5,5,1,51,Charmeleon,Fire,,Red,Blaze,,Solar Power,1,0,0,1.1,19.0,58,64,58,80,65,80,405,121,80
6,6,1,61,Charizard,Fire,Flying,Red,Blaze,,Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534,172,109
7,6,2,62,Mega Charizard X,Fire,Dragon,Black,Tough Claws,,,1,0,1,1.7,110.5,78,130,111,130,85,100,634,185,130
8,6,3,63,Mega Charizard Y,Fire,Flying,Red,Drought,,,1,0,1,1.7,90.5,78,104,78,159,115,100,634,172,159
9,7,1,71,Squirtle,Water,,Blue,Torrent,,Rain Dish,1,0,0,0.5,9.0,44,48,65,50,64,43,314,119,50
10,8,1,81,Wartortle,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.0,22.5,59,63,80,65,80,58,405,157,65
11,9,1,91,Blastoise,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530,213,85
12,9,2,92,Mega Blastoise,Water,,Blue,Mega Launcher,,,1,0,1,1.6,101.1,79,103,120,135,115,78,630,240,135
13,10,1,101,Caterpie,Bug,,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195,55,30
14,11,1,111,Metapod,Bug,,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205,65,25
15,12,1,121,Butterfree,Bug,Flying,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32.0,60,45,50,90,80,70,395,110,90
16,13,1,131,Weedle,Bug,Poison,Brown,Shield Dust,,Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195,53,35
17,14,1,141,Kakuna,Bug,Poison,Yellow,Shed Skin,,,1,0,0,0.6,10.0,45,25,50,25,25,35,205,63,25
18,15,1,151,Beedrill,Bug,Poison,Yellow,Swarm,,Sniper,1,0,0,1.0,29.5,65,90,40,45,80,75,395,96,90
19,15,2,152,Mega Beedrill,Bug,Poison,Yellow,Adaptability,,,1,0,1,1.4,40.5,65,150,40,15,80,145,495,96,150
20,16,1,161,Pidgey,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251,75,45
21,17,1,171,Pidgeotto,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30.0,63,60,55,50,50,71,349,112,60
22,18,1,181,Pidgeot,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479,162,80
23,18,2,182,Mega Pidgeot,Normal,Flying,Brown,No Guard,,,1,0,1,2.2,50.5,83,80,80,135,80,121,579,181,135
24,19,1,191,Rattata,Normal,,Purple,Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253,69,56
25,19,2,192,Rattata,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253,69,56
26,20,1,201,Raticate,Normal,,Brown,Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413,122,81
27,20,2,202,Raticate,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413,155,71
28,21,1,211,Spearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,0.3,2.0,40,60,30,31,31,70,262,68,60
29,22,1,221,Fearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,1.2,38.0,65,90,65,61,61,100,442,131,90
30,23,1,231,Ekans,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,2.0,6.9,35,60,44,40,54,55,288,84,60
31,24,1,241,Arbok,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65.0,60,95,69,65,79,80,448,140,95
32,25,1,251,Pikachu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.4,6.0,35,55,40,50,50,90,320,79,55
33,26,1,261,Raichu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.8,30.0,60,90,55,90,80,110,485,118,90
34,26,2,262,Raichu,Electric,Psychic,Brown,Surge Surfer,,,7,0,0,0.7,21.0,60,85,50,95,85,110,485,110,95
35,27,1,271,Sandshrew,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,0.6,12.0,50,75,85,20,30,40,300,72,75
36,27,2,272,Sandshrew,Ice,Steel,White,Snow Cloak,,Slush Rush,7,0,0,0.7,40.0,50,75,90,10,35,40,300,80,75
37,28,1,281,Sandslash,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,1.0,29.5,75,100,110,45,55,65,450,129,100
38,28,2,282,Sandslash,Ice,Steel,Blue,Snow Cloak,,Slush Rush,7,0,0,1.2,55.0,75,100,120,25,65,65,450,146,100
39,29,1,291,Nidoran F,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.4,7.0,55,47,52,40,40,41,275,91,47
40,30,1,301,Nidorina,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.8,20.0,70,62,67,55,55,56,365,125,62
41,31,1,311,Nidoqueen,Poison,Ground,Blue,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60.0,90,92,87,75,85,76,505,197,92
42,32,1,321,Nidoran M,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.5,9.0,46,57,40,40,40,50,273,85,57
43,33,1,331,Nidorino,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365,118,72
44,34,1,341,Nidoking,Poison,Ground,Purple,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62.0,81,102,77,85,75,85,505,170,102
45,35,1,351,Clefairy,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323,113,60
